name,言語コード,意味,綴り,count
アーデル,ge,貴族,adel,46
アーバイル,?,,,28
アーバン,en,都会,urban,318
アール,en,曲面,r,185
ブラン,fr,白,blanc,220
アイ,en,目,eye,329
アイディー,en,身分証明書,ID,49
アイル,en,島,isle,87
アクサス,?,,,130
アクシア,el,価値,αξία,29
アクシル,en,車軸,axle,20
アクトピア,?,,,15
アジール,de,聖域,asyl,118
アスコット,en,地名,ascot,44
アゼスト,?,,,60
アデニウム,en,アデニウム,adenium,51
アトラス,el,神,Atlās,117
アネックス,en,別館,annex,52
アピス,el,神,apis,12
アビタシオン,fr,住居,habitation,31
アビテ,fr,住む,habiter,20
アプレ,fr,後,après,31
アベニュー,fr,通り,avenue,77
アムフラット,?,,,45
アルシオン,fr,鳥,alcyon,24
アルス,la,芸術,ars,190
アルファ,,,,56
イーグル,en,鷲,eagle,98
イースト,en,東,east,327
イオ,el,神,io,1917
ピア,en,仲間,peer,284
イニシア,en,開始,initiative,115
インデックス,en,指標,index,27
インペリアル,en,皇帝,imperial,38
ヴァースクレイシア,?,,,22
ヴァレッシア,?,,,20
ヴァローレ,it,価値,valore,28
ヴァン,en,先導者,van,145
ヴィアーレ,it,並木道,viale,35
ヴィーク,?,,,38
ウィーン,,,,13
ウィスタリア,en,藤,wisteria,17
ヴィップ,en,要人,vip,28
ヴィラ,en,別荘,villa,154
ヴィルヌーブ,fr,新しい村,villeneuve,31
ウィルローズ,en,野生バラ,wild-rose,49
ヴィレ,,,Wille,55
ヴィレッジ,en,村落,village,28
ウィン,en,勝利,win,78
ウイング,en,翼,wing,80
ウィンベルソロ,,,,12
ヴェール,fr,緑,vert,224
ウエスト,en,西,west,245
ヴェラ,it,真実,vera,70
ウェリス,en,心地よい,wellith,30
ウェル,en,満足,well,119
ヴェル,fr,縁,verte,265
ヴェルデ,it,緑,verde,52
ヴェルト,ge,世界,welt,51
ヴェルビュ,fr,ブドウ,verjus,37
ヴェルレージュ,en,ベル,bell,12
ヴェレーナ,la,真実,verena,44
ヴェローナ,it,都市,verona,27
ヴォーガコルテ,it,人気の場所,voga corte,60
ウッド,en,木,wood,48
エヴァー,en,永久,ever,20
エヴェナール,?,,,23
エクセリア,en,洗練された,excelia,44
エクセル,en,優れた,excel,99
エクセルシオール,la,優れた,excelsior,30
エクセレンス,en,優秀,excellence,14
エクセレント,en,優秀,excellent,117
エクレール,fr,稲妻,Éclair,80
エコ,en,環境,eco,35
エスカイア,en,殿,esquire,42
エステート,en,住居,estate,229
エステム,?,,,29
エスポワール,fr,希望,espoir,29
エミネンス,en,高貴,eminence,28
エルフラット,fr,平ら,el flat,12
エレガンス,en,豪華,ellegance,18
エンゼル,en,天使,angel,199
オープン,en,開幕,open,178
オーベル,de,上位,ober,125
オリエンタル,en,東洋的,oriental,13
オリエント,en,東洋,orient,40
オリンピック,en,オリンピック,Olympics,20
オリンポス,el,山,olympos,14
カーサ,it,家,casa,144
ガーデニア,en,くちなし,gardenia,30
ガーデン,en,庭,garden,1027
ガーラ,es,祭り,gala,165
カインド,en,親切,kind,12
カテリーナ,it,聖女,caterina,39
ガラ,el,牛乳,γάλα,67
ガリシア,en,スペイン,galicia,59
カルム,fr,穏やか,calme,22
キャステール,fr,城,castle,16
キャッスル,en,城,castle,338
キャニオン,en,谷,canyon,92
キャピタル,en,首都,capital,89
クィーン,en,女王,queen,15
クオス,en,混沌,chaos,14
クオリア,en,感覚,qualia,30
グラーサ,fr,お陰,grâce à,20
クラッシィ,en,高級,classy,49
クラディア,en,人名,claudia,46
グラン,es,壮大,grand,1760
グランセ,?,,,28
グランツ,ge,輝き,glanz,39
グランデ,es,偉大,grande,306
グランディ,ru,人名,Grandi,66
グランディオ,fr,大二重奏曲,grand duo,17
テージ,en,舞台,stage,1463
グランド,,,,434
グランフォート,,,,19
グリーン,en,緑,green,1054
クリオ,en,神,clio,234
クレア,,,,121
クレアシオン,fr,創造,création,20
クレアトール,,,,15
クレイシア,pt,子供,crianca,99
グレイス,en,女神,grace,110
クレイドル,en,ゆりかご,cradle,117
クレヴィア,en,豊か,crevia,94
クレヴィスタ,?,,,65
グレース,en,美,grace,43
クレール,fr,明るい,clair,161
クレスト,en,紋章,crest,234
クレスパリオ,?,,,16
クレッセント,en,三日月,crescent,113
グロー,en,輝き,glow,261
グローリア,es,栄光,gloria,48
グローリオ,es,栄光,glorio,102
コアロード,en,貴族,core load,22
コーヅ,en,,chord,14
コート,en,宮殿,court,2023
コープ,en,協力,coop,393
コーポ,en,住宅,coopo,870
コスモ,it,宇宙,cosmo,458
コニファー,en,針葉樹,conifer,16
コンシェリア,?,,,89
コンシェルジュ,fr,案内人,concierge,38
コンド,en,分譲アパート,condo,43
コンドミニアム,en,分譲マンション,condominium,21
コンファーレ,?,,confalle,13
コンフォート,en,安心,comfort,43
サーパス,en,上回る,surpass,17
サーラ,ru,豚肉,сало,27
サイド,en,側面,side,375
サウス,en,南,south,144
サニー,en,太陽,sunny,172
サマリヤ,en,善人,samaria,45
サン,en,太陽,sun,1278
サンクタス,la,聖なる,sanctus,85
サンライズ,en,日の出,sunrise,94
シー,en,海,sea,332
シーアイ,?,,,46
シーズ,en,種,seeds,84
ジーベック,en,船,xebec,53
シーン,en,場面,scene,17
ジェイ,en,カケス,jay,178
ジェノヴィア,?,,,83
ジェンド,en,性別,gender,58
シティ,en,市,city,2048
シティオ,es,場所,sitio,27
シャトー,fr,城,chateau,50
シャトレ,fr,城,châtelet,96
シャリエ,fr,熱意,chaleur,35
シャルマン,fr,魅力的,charmant,31
シャルム,fr,魅力,charme,45
シャンブル,fr,部屋,chambre,18
シャンボール,fr,地名,Chambord,75
ジュエル,en,宝石,jewel,20
ジュネス,fr,青年,jeunesse,13
シュロス,de,城,sheloss,21
ジョイフル,en,楽しい,joyful,16
シンシア,en,誠実,cynthia,57
スイート,en,甘い,sweet,116
ズーム,en,拡大,zoom,45
スカーラ,it,幸せ,skāra,109
スカイ,en,空,sky,813
スクエア,en,四角,square,254
スタイル,en ,様式,style,39
スタジオデン,?,,,15
ステイツ,en,国家,state,46
ステージ,en,段階,stage,1441
ステーション,en,駅,station,263
ストーク,en ,コウノトリ,stork,84
スパシエ,?,,,65
セイガ,?,,,36
セーナ,es,食べ物,cena,18
ゼームス,en,,James,20
セザール,fr,男,César,355
セジョリ,fr,素敵,C'est joli,59
ゼファー,en,神,zephyr,32
セブンスター,en,七つ星,sevenstar,56
セボン,fr,美味しい,c'est bon,114
セレナ,es,穏やか,serena,25
センター,en,中心,center,127
センチュリー,en,世紀,century,184
セント,en,匂い,scent,351
セントラル,en,中心,central,139
ソフィア,la,家,sophia,44
ソフト,en,柔らかい,soft,27
ソル,la,太陽,sol,39
ソレイユ,fr,太陽,soliel,38
ゾンネン,ge,太陽,sonnenstern,15
ダイア,en,ダイア,diamond,379
ダイカン,?,,,50
ダイナ,?,,,55
ダイホー,?,,,33
ダイヤモンド,en,ダイヤモンド,diamond,128
タワー,en,塔,tower,570
チュリス,?,,,15
ツイン,en,双子,twin,86
ディアージュ,造語,対話する場所,diage,14
ディアスタ,el,星,aster,13
ディアナ,en,人名,diana,67
ディアレイシャス,,,,28
ディップス,en,くぼみ,dips,22
ディナ,en,正義,dina,26
サンテミリオン,fr,地名,saint-Emilion,50
デュープレックス,en,二重の,duplex,41
デュオ,el,2,duo,223
パレ,fr,宮殿,palace,1581
ステュディオ,fr,マンション,studio,102
テラス,en,テラス,terrace,568
ドゥエ,ru,2,two,21
トゥルース,en,真実,truth,45
ドエル,en,住む,dwell,169
アルス,en,,ARS,190
トーア,de,ゴール,tor,44
トーカン,en,トークン,token,44
トーシン,?,,,79
フェニックス,en,永遠,phoenix,173
トップ,en,頂上,top,158
ドミール,fr,住居,domicile,55
ドムス,la,家,domus,22
ドメイン,en,領地,domain,18
ドラゴン,en,ドラゴン,dragon,30
ドリーム,en,夢,dream,27
ドルチェ,ru,甘い,dolce,70
ドルフ,de,田舎,dolf,13
ドルミ,ru,眠り,dormi,23
ドレッセ,fr,美しい,dresser,22
ナード,en,オタク,nerd,59
ナイス,en,良い,nice,101
ナショナル,en,国の,national,15
ナビウス,?,,,17
ニック,en,切り込み,nick,235
ニュー,en,新しい,new,535
ネオ,el,新しい,neo,92
マイム,en,役者,mime,22
ネク,?,,,40
ノヴァ,la,新しい,nova,33
ノース,en,北,north,76
ノーブル,en,威厳,noble,31
パーク,en,公園,park,2627
パート,en,部分,part,153
バーム,de,木,baum,43
パームス,,,,47
ハーモニー,,,,72
パール,en,真珠,pearl,72
ハイズ,,,,33
ハイセレサ,,,,13
ハイツ,en,高台,heights,2285
ハイデンス,,,,23
ハイネス,,,,72
ハイマート,de,家,heimat,12
ハイム,de,家,heim,1143
ハイラーク,,,,16
ハイライズ,,,,44
ハイライン,,,,15
ハウス,en,家,house,1636
パシフィック,en,太平洋,pacific,67
パティーナ,en,古つや,patina,21
パティオ,es,庭,patio,30
パテラ,,,,28
パラシオン,es,宮殿,palacio,20
パラスト,,,,43
パリオ,la,創造,pallium,63
パルテール,fr,庭,parterre,15
パルナス,,,,28
パレ,fr,宮殿,palais,1581
パレス,en,宮殿,palace,1371
パレドール,,,,74
パロス,en,島,Πάρος,22
ピア,fr,貴族,peer,284
ビアネーズ,,,,21
ビッグ,en,大きい,big,26
ビバリー,,,,63
ヒミコ,,,,47
ビュー,en,眺め,view,251
ビューネ,de,舞台,buhne,14
ヒル,en,丘,hill,976
ヒルズ,en,丘,hills,648
ファースト,en,最初,first,198
ファイン,en,繊細,fine,55
ファミール,fr,家族的な,famille,165
ファミリア,fr,親しみ,familiar,27
ファミリー,en,家族,family,43
フィエスタ,es,祝祭,feast,17
フェアロージュ,,,,37
フェニックス,,,,173
フェルクルールプレスト,,,,18
フォース,,,,34
フォルム,fr,形,forme,276
フォレスト,en,森,forest,117
フュージョナル,,,,27
ブライズ,,,,73
プライム,en,重要,prime,59
プラウド,,,,313
プラザ,,,,587
フラッツ,,,,58
フラット,,,,112
フラワー,en,花,flower,80
ブランズ,,,,114
ブリシア,,,,24
プリムローズ,fr,桜,primerose,19
ブリリア,,,,172
ブリリアンス,en,輝かしい,briliance,23
プリンス,en,王子,prince,28
プレ,en,,pre,1174
プレイス,en,場所,place,167
プレール,,,,312
プレールドゥーク,,,,227
プレジール,,,,18
プレシス,en,貴重,precious,119
プレジャー,en,喜び,pleasure,19
プレシャス,,,,27
プレステージ,en,名誉,prestige,36
プレミアムキューブ,,,,56
プレミスト,,,,61
プロスペアー,en,繁栄,prosperity,16
プロムナード,fr,散歩,promenade,15
フロント,en,前,front,159
ペア,en,組,pair,63
ペガサス,,,,27
ベリスタ,,,,48
ベル,fr,美,belle,824
ベルグレード,fr,美女,bellgrade,24
ベルコリーヌ,fr,美しい丘,bellecolline,47
ベルジュール,fr,美しい日,bel jour,62
ベルテ,,,,33
ポート,en,港,port,36
ホーム,en,住居,home,1223
ホームズ,en,住居,home,965
ボヌール,fr,幸運,bonheur,14
マークス,en,目立つ,marks,67
マートル,,,,54
マイ,en,私,my,326
マキシヴ,,,,42
マック,,,,33
マリオン,en,窓枠,marion,21
ミオカステーロ,,,,87
ミリオン,en,無数,million,85
ミルーナ,sp,私の月,mi luna,16
メイクスデザイン,,,,65
メイゾン,fr,家,maison,35
メイツ,,,,71
メイン,,,,285
メゾネット,,,,16
メゾン,fr,家,maison,867
メゾンド,fr,店,maison,99
メゾンドール,fr,金の家,maison d'or,22
メルシー,fr,ありがとう,merci,24
モア,en,もっと,more,94
モナーク,,,,90
モリス,en,人名,morris,29
ヤモンド,,,,128
ユースフル,en,便利,useful,19
ユニアス,el,人名,Junias,17
ユニーブル,,,,69
ライオン,en,ライオン,lion,1894
ライジングプレイス,,,,42
ライト,en,光,light,105
ライネス,en,人名,lainez,14
ライフ,en,生活,life,186
ライブ,en,生活,live,36
ヴィエ,fr,生活,vie,27
ドール,fr,黄金,dor,155
ラグジュアリー,en,豪華,luxury,30
ラス,,,,1007
ラフィスタ,fr,洗練,raffistar,38
ラフィネ,fr,洗練,raffine,15
ラポール,fr,信頼,rapport,19
ラミアール,?,,,19
ランド,en,土地,land,580
リーベスト,en,最高な暮らし,libest,20
リヴ,,,,119
リシェ,fr,富,riche,17
リスト,en,表,list,21
リッツ,en,豪華,ritz,24
リバー,en,川,river,214
リビオ,en,オアシス,living oasis,126
リブレ,sp,自由,libre,14
リム,en,ふち,rim,94
リュクス,en,贅沢,luxe,43
リライアンス,en,信頼,reliance,20
リリーゼ,,,reliese,15
リリーベル,en,スズラン,lily bell,21
リリエン,fr,百合,lilien,21
リレント,en,又貸し,re-rent,13
シャトレ,fr,城,châtelet,96
ルーブル,ru,通貨,rubl,325
ルジェンテ,it,人々,l'gente,35
ルッソ,it,贅沢,lusso,13
ルネサンス,fr,再生,renaissance,36
ルピナス,en,花,lupin,55
ルフォン,fr,本質,le fond,58
ルミエール,fr,光,lumiere,39
ルミネ,en,照らす,lumine,36
ルリオン,fr,ライオン,le lion,61
レアライズ,en,現実,realize,37
レイク,en,池,lake,19
レーベン,de,命,leben,164
スガルテン,?,,,19
リヴァーレ,ru,好敵手,rivale,27
レガリス,la,王者,regalis,23
レクシオ,?,,,22
レグゼ,de,躍動感,regza,18
レクセル,en,先駆者,lexel,188
レジェイド,en,翡翠,jade,23
レジェンド,en,伝説,legend,44
レジダンス,fr,住居,residence,23
レジデンス,en,住居,residence,993
レヂオンス,?,,,31
レックス,la,王,rex,84
レフィール,es,語る,referir,15
ロアール,fr,地名,loire,57
ロイアル,en,王,royal,14
ロイヤル,en,王室の,layal,313
ローズ,en,薔薇,rose,121
ローヤル,en,王,royal,170
ローレル,en,月桂,laurel,54
ロワール,fr,ロワール川,Loire,26
ロワイヤル,fr,王宮,royal,55
ワールド,en,世界,world,52
ワコー,ja,地名,wako,138